경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-28 02:15:30,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,3,6000
2020-02-28 02:15:29,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,2,41000
2020-02-28 02:15:29,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,20,14000
2020-02-28 02:15:27,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,6,8000
2020-02-28 02:15:27,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,14,46000
2020-02-28 02:15:26,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,13,19000
2020-02-28 02:15:25,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,38000
2020-02-28 02:15:25,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,13,11000
2020-02-28 02:15:24,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,2,14000
2020-02-28 02:15:23,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,13,15000
2020-02-28 02:15:23,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,9,10000
2020-02-28 02:15:21,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,12,7000
2020-02-28 02:15:21,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,4,28000
2020-02-28 02:15:20,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,26,11000
2020-02-28 02:15:19,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,16,36000
2020-02-28 02:15:19,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,39000
2020-02-28 02:15:19,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,16,10000
2020-02-28 02:15:18,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,2,11000
2020-02-28 02:15:17,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,33,14000
2020-02-28 02:15:17,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,51,12000
2020-02-28 02:15:16,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,5,11000
2020-02-28 02:15:15,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,8,8500
2020-02-28 02:15:15,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,15,10000
2020-02-28 02:15:15,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,2,11000
2020-02-28 02:15:14,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,44000
2020-02-28 02:15:14,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,14,16000
2020-02-28 02:15:13,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,53,17000
2020-02-28 02:15:12,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,3,14000
2020-02-28 02:15:12,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,1,6000
2020-02-28 02:15:11,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,5,8000
2020-02-28 02:15:11,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,21,18000
2020-02-28 02:15:10,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,7,53000
